protein,HR,HR_lo,HR_hi,z,pval,n_events,fdr
comp,0.79587937192914,0.656953739624979,0.964183528392595,-2.33261415168406,0.0196684055205719,116,0.279855443207013
cntn3,0.803873946172363,0.669146680466213,0.96572745587633,-2.33257271691647,0.0196705822705056,119,0.279855443207013
ssna1,0.718665994227357,0.544422235150538,0.948676923740969,-2.33185862342356,0.0197081298033108,107,0.279855443207013
gzmh,0.789374743148452,0.646894351901752,0.963236861303313,-2.32876212300192,0.0198716710212621,118,0.280807933703369
ifit1,1.19894836180222,1.02894747662382,1.39703649304323,2.32574076617562,0.0200323843118374,109,0.281711452810428
shbg,1.26862066061739,1.03794938474717,1.55055574404268,2.32373545144547,0.0201396771657321,112,0.28185865494926
ddr1,0.789406763954848,0.64650909469212,0.963889052905632,-2.32094381672259,0.0202898763053868,119,0.282602057057325
mog,1.2431778759771,1.03397373549693,1.49471033766266,2.31533480822429,0.0205946162247426,122,0.283130330901691
gh2,0.770024728009925,0.617187088081037,0.960710444527163,-2.31503543795397,0.0206109927472715,116,0.283130330901691
itgb5,0.776181718123318,0.626258232983361,0.961996230658533,-2.3137844098803,0.0206795509620196,119,0.283130330901691
suox,0.744038422292717,0.579153694162731,0.955865738969605,-2.31309668395294,0.0207173239992842,110,0.283130330901691
rarres2,1.24880618449117,1.03435450349757,1.50771991725277,2.3113393938035,0.0208141157035252,119,0.283130330901691
f2,0.806578151118296,0.672008520870745,0.968095334592549,-2.30813328955364,0.0209917241466744,110,0.284218181353345
hbegf,1.28351149738499,1.0379759700906,1.58712900046777,2.30402293772985,0.0212213560162656,122,0.285126412699058
tgfbi,0.796381357721636,0.656124187023705,0.966620770076326,-2.30342931487481,0.0212546999504279,116,0.285126412699058
cxcl12,1.21421042195126,1.02915168297707,1.43254582697692,2.30055159758835,0.0214169896083454,118,0.285985581421529
adamts4,1.1999393081516,1.02680475105026,1.40226692735362,2.29268662435284,0.0218660531547115,110,0.290403783462585
mavs,0.643419646392634,0.441052613881807,0.938638222139553,-2.28862972385447,0.0221008753616505,116,0.290403783462585
slit2,0.791714197269953,0.648101190146986,0.967150469229424,-2.28703841557249,0.0221935809267844,120,0.290403783462585
pdia3,1.15155500575953,1.02037954076937,1.2995938063301,2.28692011671584,0.0222004862022109,111,0.290403783462585
adgre2,0.793177578427106,0.650276172945433,0.967482274600087,-2.28612980746388,0.0222466656517198,120,0.290403783462585
pde1c,0.727005005779351,0.553013365959481,0.955738705358813,-2.28432370698987,0.0223525136324976,107,0.290482889215181
lcat,0.835626404353514,0.716096533897804,0.975108040045944,-2.28001252287044,0.0226069457666608,112,0.290981299251274
vsnl1,0.759434991576331,0.599406859833107,0.962187030343838,-2.27923159827211,0.0226533016855906,107,0.290981299251274
ager,1.2340484144022,1.02984489823151,1.47874256764658,2.27860185285642,0.0226907437066435,119,0.290981299251274
acy3,0.783066390290449,0.634333597761486,0.966672699927015,-2.27534949246618,0.0228849726668442,107,0.292184892250805
wars,0.80014007321124,0.660064494864336,0.969941788627905,-2.27078137008254,0.0231602162838212,119,0.294407814856784
dnajb14,0.601590078519302,0.387661850270019,0.933572963965317,-2.26653489718732,0.0234186530148557,107,0.295568904241174
ercc1,0.77944217185604,0.628319883148925,0.966912102515246,-2.26594703692696,0.0234546262039544,107,0.295568904241174
gpkow,0.762478920348142,0.602669098862199,0.964665527190403,-2.25973211034923,0.0238378821379042,120,0.298130188113372
gp6,1.61166377278961,1.06511234738251,2.43867243010154,2.25846479803676,0.0239166968480682,119,0.298130188113372
tjap1,0.656060475151905,0.454970685134086,0.946028746730558,-2.25706075282925,0.0240042788388394,119,0.298130188113372
ssc4d,0.783205144979461,0.633277063039592,0.96862863811625,-2.25396769174625,0.0241982005631062,121,0.298130188113372
gp5,1.38307198814379,1.04311674795265,1.83381977917859,2.2532568756301,0.0242429571371486,111,0.298130188113372
snx18,1.18520002683357,1.02216917891717,1.37423347580717,2.25037377217113,0.024425228487659,107,0.298130188113372
pf4,1.2521419602133,1.02938689076133,1.52310030620968,2.24975166107413,0.0244647140971101,107,0.298130188113372
pepd,0.809907343013781,0.673997111468146,0.973223613434793,-2.24955519888795,0.0244771951078997,112,0.298130188113372
hmox1,0.800876645771413,0.659694662075481,0.972273141826153,-2.24414539196127,0.0248230482160176,118,0.30108288898678
tmprss5,0.819735234700422,0.688899030358946,0.975419946024939,-2.24047993605555,0.0250597819115278,118,0.30269305039194
lyve1,0.802335848014083,0.661513811507592,0.973135861731119,-2.23651266616623,0.0253182085571815,110,0.3045508475618
smoc1,0.78704349444356,0.637924393469767,0.971020184346167,-2.23435054340334,0.0254600171165838,122,0.304996336734055
cd177,1.26241005989678,1.02872004244039,1.5491864584926,2.23106850266712,0.0256765917494025,118,0.306330158125044
ereg,1.27583338842082,1.02982899475599,1.5806030353564,2.22890385119358,0.0258203028291787,119,0.306787353207098
sparc,1.28887128069657,1.03057860416421,1.61189954021181,2.22392922157208,0.0261532066525529,119,0.308236018940843
elac1,1.65657815987422,1.06173940629585,2.58467490563081,2.22391741833414,0.0261540009200921,110,0.308236018940843
cd83,1.25153336659696,1.02632176153433,1.52616443147797,2.2166447039645,0.0266473801853939,122,0.312784369837426
galnt7,0.820851295390045,0.689153426140479,0.977716751575964,-2.21253039692947,0.0269300382998086,118,0.313098179277447
tnfrsf19,1.23704143019798,1.02451981879603,1.49364753316785,2.21183983421159,0.0269777336556017,122,0.313098179277447
vasn,1.22817475450136,1.02365768427948,1.47355239037374,2.21156428241715,0.0269967856402059,115,0.313098179277447
ca4,1.21943493997685,1.02243826826322,1.45438763296908,2.20680117073931,0.0273279532440845,121,0.315681237672738
cd244,0.808705934944006,0.669602576619794,0.976706649659457,-2.20470044980066,0.0274751215556625,122,0.316126793867721
tnr,0.815305687166615,0.679637663657658,0.978055512622467,-2.19891208454082,0.0278841741712963,119,0.318500344170437
il7r,0.822815872763996,0.691514567468086,0.97904800899747,-2.19868629298285,0.0279002362636419,119,0.318500344170437
