cog_measure,protein,rho,pval,n,fdr
gcsvd_score,chgb,0.0484272401456727,0.339536585500223,391,0.43385230369473
gcsvd_score,vgf,-0.0478737832143056,0.343235463701745,394,0.435553967731869
symbol_digit__n_correct__i2,vgf,0.101687807410585,0.34582236875803,88,0.93575464487467
gcsvd_score,fcrl6,-0.0474725839231846,0.352273779511103,386,0.443961475548239
symbol_digit__n_correct__i2,plaur,-0.101097686058119,0.357240712081231,85,0.942789082014157
gcsvd_score,folr1,0.0465162669480851,0.360198397688004,389,0.448260216080329
gcsvd_score,hla_a,0.0461841248508599,0.360557130325482,394,0.448260216080329
symbol_digit__n_correct__i2,vat1,-0.0979618360702311,0.372425737852651,85,0.942789082014157
symbol_digit__n_correct__i2,itgb1,0.0952360951487122,0.383075058737635,86,0.942789082014157
symbol_digit__n_correct__i2,klrk1,-0.0940476701006394,0.383445887662015,88,0.942789082014157
gcsvd_score,dpp6,-0.0443778191309676,0.38707161329696,382,0.477994475480809
symbol_digit__n_correct__i2,thy1,0.0930805648861941,0.388377812819193,88,0.942789082014157
symbol_digit__n_correct__i2,comp,-0.0958577060652504,0.388660842060149,83,0.942789082014157
symbol_digit__n_correct__i2,ctsl,-0.0934671173558585,0.394863838424999,85,0.942789082014157
symbol_digit__n_correct__i2,rgma,-0.090580706935785,0.401300964842486,88,0.942789082014157
symbol_digit__n_correct__i2,chga,0.09088041717928,0.402508353675856,87,0.942789082014157
symbol_digit__n_correct__i2,cd5l,0.0905667395612647,0.404141017942976,87,0.942789082014157
symbol_digit__n_correct__i2,hrg,-0.0903199387974219,0.405428325991859,87,0.942789082014157
symbol_digit__n_correct__i2,itgb6,0.0895983166967805,0.414805209075022,85,0.942789082014157
symbol_digit__n_correct__i2,tpp1,0.0890192159027962,0.415032150234493,86,0.942789082014157
gcsvd_score,galnt7,0.0410457946609155,0.42374511060514,382,0.518912918018117
gcsvd_score,lpo,0.0414088305706335,0.425847014243129,372,0.518912918018117
symbol_digit__n_correct__i2,tnfsf13,-0.0850342283909651,0.430863801441835,88,0.956254597626021
gcsvd_score,ctsf,-0.0393523019273961,0.436014555064783,394,0.527638655640892
gcsvd_score,hla_e,0.0395245094763693,0.438743012570959,386,0.527638655640892
symbol_digit__n_correct__i2,arhgap1,-0.0860188463200925,0.439392878588615,83,0.956254597626021
symbol_digit__n_correct__i2,st6gal1,-0.0831622164311988,0.441114882230135,88,0.956254597626021
symbol_digit__n_correct__i2,ptprf,-0.083047400287018,0.441748047816368,88,0.956254597626021
symbol_digit__n_correct__i2,clec4a,0.0808320895170921,0.459391731375849,86,0.963775542256331
gcsvd_score,clec4m,0.0373330065437365,0.46340111106389,388,0.553674054777635
gcsvd_score,omg,0.0373322891046108,0.466910337901798,382,0.554267755960844
symbol_digit__n_correct__i2,mmp12,-0.0775742615092515,0.47774255772574,86,0.963775542256331
symbol_digit__n_correct__i2,susd2,0.0760612795141763,0.481222767818615,88,0.963775542256331
symbol_digit__n_correct__i2,got1,-0.0751685156273156,0.488959777659946,87,0.963775542256331
symbol_digit__n_correct__i2,lto1,0.0752586409204419,0.493628740029314,85,0.963775542256331
symbol_digit__n_correct__i2,pdia3,-0.0739873848540768,0.495832778840373,87,0.963775542256331
gcsvd_score,igdcc4,0.0345379244323321,0.497008080891521,389,0.586214659513076
symbol_digit__n_correct__i2,amy2a,-0.0746169507919189,0.499949100826438,84,0.963775542256331
gcsvd_score,chad,0.0345350939930205,0.503230833062031,378,0.589773715180979
symbol_digit__n_correct__i2,tf,0.0721401842124169,0.50417838684216,88,0.963775542256331
symbol_digit__n_correct__i2,dusp13,0.0715301428893255,0.50780012008756,88,0.963775542256331
symbol_digit__n_correct__i2,rtbdn,0.0707547178448544,0.519916009486787,85,0.963775542256331
symbol_digit__n_correct__i2,thpo,-0.0703846738628737,0.524639517226469,84,0.963775542256331
symbol_digit__n_correct__i2,l1cam,-0.0669375173426593,0.535490325616716,88,0.963775542256331
