protein,logFC,AveExpr,t,P.Value,fdr,comparison
ipcef1,0.0913903349986519,-0.0649916043296559,1.83276262069344,0.0668440330009699,0.966161397369632,hla_interaction_all
fzd8,-0.065554308352746,0.0321521882875429,-1.82996706136365,0.0672610248331953,0.966161397369632,hla_interaction_all
tada3,0.0459890753885754,-0.00515412247275598,1.82879587240192,0.06743635719364,0.966161397369632,hla_interaction_all
tigit,0.0550321228924026,0.0196514041694332,1.82762122348193,0.0676125851162405,0.966161397369632,hla_interaction_all
gtf2ird1,0.110801720869318,0.187521879691875,1.82608441857519,0.0678437178137544,0.966161397369632,hla_interaction_all
lpcat2,-0.0684047599009782,0.0523637902348506,-1.82598318254789,0.0678589663189305,0.966161397369632,hla_interaction_all
entpd6,-0.047979932556976,-0.0366028326431507,-1.82540260301166,0.0679464695780981,0.966161397369632,hla_interaction_all
crim1,-0.0348934061906464,0.00333031025494303,-1.81840239692535,0.069008843660382,0.966161397369632,hla_interaction_all
itih4,0.0409246481225625,0.0174636540506546,1.81833102190345,0.0690197456473264,0.966161397369632,hla_interaction_all
eci2,-0.0789996553912322,0.0683915386344778,-1.81412723110857,0.0696643425635921,0.966161397369632,hla_interaction_all
pts,0.0801280912673331,0.0618435265225963,1.81233846190421,0.0699401221871776,0.966161397369632,hla_interaction_all
rspo1,-0.0591903314850581,-0.00396728613001227,-1.81179614216225,0.0700239099626222,0.966161397369632,hla_interaction_all
mdk,-0.0775831037070082,0.0194158856875947,-1.80661919542902,0.0708278961706031,0.966161397369632,hla_interaction_all
myh7b,-0.0661593465048301,0.0537783407600258,-1.80034424860348,0.0718125354723489,0.966161397369632,hla_interaction_all
sowaha,-0.073547536200249,0.0535257684858697,-1.79983719277098,0.0718925879281866,0.966161397369632,hla_interaction_all
timp3,-0.205121350147693,0.0987523597601043,-1.79954136287591,0.0719393264223319,0.966161397369632,hla_interaction_all
setmar,0.0469028472046353,-0.00172700259784862,1.79739683230757,0.0722788878879103,0.966161397369632,hla_interaction_all
gpc5,-0.0941676680227795,-0.018380644712628,-1.79509782264448,0.0726443658354189,0.966161397369632,hla_interaction_all
cdc37,-0.0572606474948902,-0.0106016633139229,-1.78964836364925,0.0735167216074784,0.966161397369632,hla_interaction_all
smarca2,0.112830673239663,0.0524958123316242,1.78922060694551,0.0735855585191339,0.966161397369632,hla_interaction_all
ceacam8,-0.0783757835452476,-0.016784258396027,-1.78237440090977,0.0746944774970498,0.966161397369632,hla_interaction_all
nck2,-0.0654983438998983,-0.0668188526500944,-1.77965076501917,0.0751394192876913,0.966161397369632,hla_interaction_all
ifng,-0.197564597753107,-0.0251838357351833,-1.77847324457155,0.0753324516906294,0.966161397369632,hla_interaction_all
spink2,0.0571072222700815,0.0177073956734816,1.77793673390086,0.0754205367098109,0.966161397369632,hla_interaction_all
atp6ap2,0.0682112530219571,0.0303531405587551,1.77386789700496,0.0760913036457224,0.966161397369632,hla_interaction_all
satb1,-0.042722396895002,0.0269756418632799,-1.76746219782813,0.0771571682240434,0.966161397369632,hla_interaction_all
lgals8,0.0572573135699878,0.0321742889323982,1.76607306922506,0.0773899077121335,0.966161397369632,hla_interaction_all
b3gnt7,0.0536674654421859,-0.0149911583625005,1.7629756061016,0.0779109274372127,0.966161397369632,hla_interaction_all
dnajc9,-0.0877477013410779,-0.0240242393361498,-1.76206939863451,0.0780638982017237,0.966161397369632,hla_interaction_all
btn2a1,-0.0395883370885882,0.00416633288829553,-1.76180480916751,0.0781086078573863,0.966161397369632,hla_interaction_all
gbp1,0.0867694389059047,0.00622267061163156,1.75848061707532,0.078672099670607,0.966161397369632,hla_interaction_all
cpm,0.0577845277408129,-0.00341328320006767,1.75622692044152,0.0790560074135242,0.966161397369632,hla_interaction_all
lefty2,0.0909101131523213,-0.00609524115823424,1.75307821751554,0.0795949260358561,0.966161397369632,hla_interaction_all
dbnl,-0.0475748888141995,-0.0745271621421171,-1.74891097023298,0.0803127625319553,0.966161397369632,hla_interaction_all
ism2,0.0658138808384169,0.00310437809742487,1.74746238818626,0.0805635190658011,0.966161397369632,hla_interaction_all
cd109,0.0570704391086396,-0.000710771141110552,1.7449197354914,0.0810052019434335,0.966161397369632,hla_interaction_all
gsn,0.0283736834370972,0.000970546249089679,1.74481443128477,0.081023536593784,0.966161397369632,hla_interaction_all
ftcd,0.115770360610109,0.122735411816073,1.74392800343733,0.0811780072610575,0.966161397369632,hla_interaction_all
msra,-0.0450396522825498,-0.040679712016941,-1.74322332667696,0.0813009761061269,0.966161397369632,hla_interaction_all
ostn,-0.0613028935380187,0.0464270335700506,-1.74169538445591,0.0815681273102589,0.966161397369632,hla_interaction_all
fam171a2,-0.238358695562431,0.395428716273497,-1.73432098535774,0.082867526769637,0.966161397369632,hla_interaction_all
tmsb10,-0.0684811410756913,-0.0290073325267447,-1.7341857131453,0.0828915180622419,0.966161397369632,hla_interaction_all
ccar2,-0.0812116023719204,0.0964153325749116,-1.73298339851404,0.0831050028037175,0.966161397369632,hla_interaction_all
tnfrsf4,-0.0573128160611083,0.0183550998039755,-1.73043571903528,0.0835588446281792,0.966161397369632,hla_interaction_all
prss2,0.0874253534132363,0.021511753161334,1.72965611275094,0.0836981235423602,0.966161397369632,hla_interaction_all
usp47,0.116258197260595,0.128673441754722,1.72640194711085,0.0842815209503523,0.966161397369632,hla_interaction_all
atox1,-0.0717199014390806,-0.0737473838009514,-1.71860126598962,0.0856934098738826,0.966161397369632,hla_interaction_all
dnpep,0.0817660740979703,0.00338717141888975,1.71789453176247,0.0858222644979479,0.966161397369632,hla_interaction_all
ak2,0.0847016457112764,-0.0622940165561334,1.71775978379534,0.0858468500522968,0.966161397369632,hla_interaction_all
gstm4,-0.103150655292093,0.143463601389013,-1.71752349820868,0.085889975479028,0.966161397369632,hla_interaction_all
timp1,-0.0377011727333422,0.00758144278821287,-1.71584496483396,0.0861968354336969,0.966161397369632,hla_interaction_all
lgals3bp,-0.0444056645810568,0.0392504555781191,-1.71346197908911,0.0866339998950831,0.966161397369632,hla_interaction_all
grp,-0.0763860465953179,0.00914848563838875,-1.71291799991952,0.0867340447550063,0.966161397369632,hla_interaction_all
ddx58,-0.079900202281737,0.0494265778889003,-1.7080413402505,0.0876350984206566,0.966161397369632,hla_interaction_all
fcrl5,0.0982499058971122,0.00538951434878604,1.70740845862537,0.0877525866987429,0.966161397369632,hla_interaction_all
