logFC,AveExpr,t,P.Value,adj.P.Val,B,protein,fdr,direction,label_protein
0.175190873178579,-0.117457024793388,2.61805456742124,0.00994056045728641,0.355555254416023,-2.69675944345615,fap,0.355555254416023,NS,
0.742737058313956,-0.212246721311475,2.61684682064761,0.00997392013805117,0.355555254416023,-2.69932674936075,hao1,0.355555254416023,NS,
0.312878328342356,0.0121809322033898,2.6156517653083,0.0100070285677816,0.355555254416023,-2.7018660509158,cxcl14,0.355555254416023,NS,
0.154548041326211,-0.0255063063063063,2.60766146571803,0.0102309531745522,0.355555254416023,-2.71881791828793,nhlrc3,0.355555254416023,NS,
0.156780031535297,0.0514296610169492,2.60323950679892,0.010356807767895,0.355555254416023,-2.728179713833,cd302,0.355555254416023,NS,
0.104415416761398,-0.0582877118644068,2.59355901399976,0.0106372068220085,0.355555254416023,-2.74862553398514,igf1r,0.355555254416023,NS,
0.260664711864139,-0.0409226851851852,2.58875684791592,0.0107788230851748,0.355555254416023,-2.75874308359827,gpd1,0.355555254416023,NS,
0.160245657064085,0.0102404166666667,2.58728725344623,0.0108224992814178,0.355555254416023,-2.76183602442345,tnfrsf14,0.355555254416023,NS,
0.239025367212293,0.0302054054054054,2.5786431768321,0.0110826379018444,0.355555254416023,-2.77999715121203,cdh1,0.355555254416023,NS,
0.102169520333495,-0.0467823529411765,2.57318166620366,0.0112498835696805,0.355555254416023,-2.79144405684339,cd99,0.355555254416023,NS,
0.162802738803269,0.0220581967213115,2.57149923404315,0.0113018591019484,0.355555254416023,-2.79496598346075,tnfrsf19,0.355555254416023,NS,
0.146543663674149,0.0104877049180328,2.57039045859126,0.0113362304661555,0.355555254416023,-2.79728593012581,gfra1,0.355555254416023,NS,
0.180712081585108,0.048536974789916,2.56897795869391,0.0113801531319453,0.355555254416023,-2.80024009347355,cd300c,0.355555254416023,NS,
0.204503957290609,-0.109343852459016,2.56375544352416,0.0115438816583642,0.355555254416023,-2.81115021625936,cdh2,0.355555254416023,NS,
0.213998787915477,-0.108683193277311,2.5604339221959,0.0116491106030465,0.355555254416023,-2.81807883924322,wfikkn1,0.355555254416023,NS,
0.140865713166292,-0.0372522727272727,2.55521473558297,0.011816200022499,0.355555254416023,-2.82894989075861,fbln2,0.355555254416023,NS,
0.175391724873302,0.0210057851239669,2.55286539735401,0.0118921124493507,0.355555254416023,-2.83383692086841,cd200r1,0.355555254416023,NS,
0.220613447554415,0.0287008474576271,2.54455926262748,0.012164023732652,0.355555254416023,-2.85108318885618,adamts16,0.355555254416023,NS,
-0.501276368017582,0.357653271028037,-2.54190339697075,0.0122521357806151,0.355555254416023,-2.85658712985863,shc1,0.355555254416023,NS,
0.220591830902002,0.0185171171171171,2.53118393851824,0.0126136135800836,0.355555254416023,-2.87875002263348,sfrp4,0.355555254416023,NS,
0.287528147724885,0.0412042016806723,2.5266655713182,0.0127688220474074,0.355555254416023,-2.88806702019727,tnfrsf6b,0.355555254416023,NS,
0.170330416062294,-0.0583658333333333,2.51993827772339,0.0130030784656869,0.355555254416023,-2.90191149592777,crhbp,0.355555254416023,NS,
0.215246704317797,0.040927868852459,2.51525803916103,0.0131683145831451,0.355555254416023,-2.91152387869346,hgf,0.355555254416023,NS,
0.150330788554692,0.013018487394958,2.51341913319051,0.0132337497712064,0.355555254416023,-2.91529632053266,acvrl1,0.355555254416023,NS,
0.226940507033516,-0.150995762711864,2.51315246570996,0.0132432629183154,0.355555254416023,-2.91584317455475,dkk4,0.355555254416023,NS,
0.121653615386597,-0.0537971962616823,2.51241702378811,0.0132695309301966,0.355555254416023,-2.91735107530176,lmnb2,0.355555254416023,NS,
0.275304018149512,0.0360012295081967,2.50977848574739,0.0133641564786379,0.355555254416023,-2.92275772724735,serpinb8,0.355555254416023,NS,
0.195050847159554,-0.03733,2.50917205546622,0.0133859899338214,0.355555254416023,-2.92399965500423,apcs,0.355555254416023,NS,
0.235338720964522,-0.149372540983607,2.50500685684311,0.0135368146774094,0.355555254416023,-2.93252248365535,kynu,0.355555254416023,NS,
0.13179741152528,-0.0524297169811321,2.4922295131285,0.0140090164677025,0.355555254416023,-2.9585888484677,palm,0.355555254416023,NS,
0.123824071855628,-0.0437069672131147,2.49015477003734,0.0140870645023878,0.355555254416023,-2.96281021646804,selplg,0.355555254416023,NS,
