protein,carrier_mean,noncarrier_mean,pval,fdr,delta,logFC,sig_label
acp5,0.0171650205761317,-0.00176276595744681,0.623099818908605,0.912759532890162,0.0189277865335785,0.0189277865335785,""
cd83,0.0790078512396694,0.0699014705882353,0.625772329127364,0.912759532890162,0.00910638065143411,0.00910638065143411,""
scrg1,-0.103582394366197,-0.0977292410714286,0.628768651118619,0.912759532890162,-0.00585315329476863,-0.00585315329476863,""
fgfbp2,-0.118029107981221,-0.0852202702702703,0.632126924199724,0.912759532890162,-0.0328088377109504,-0.0328088377109504,""
sez6l2,0.00615599173553719,-0.00601367521367521,0.633909462568282,0.912759532890162,0.0121696669492124,0.0121696669492124,""
clec4m,-0.0724721698113208,-0.0875648648648649,0.634748073694162,0.912759532890162,0.0150926950535441,0.0150926950535441,""
art3,-0.112242418032787,-0.116927586206897,0.636939300058265,0.912759532890162,0.00468516817410967,0.00468516817410967,""
ltbp2,0.030717004048583,0.0147894957983193,0.641695935238306,0.912759532890162,0.0159275082502637,0.0159275082502637,""
ret,-0.116471900826446,-0.134151282051282,0.642480031690462,0.912759532890162,0.0176793812248358,0.0176793812248358,""
igfbp2,0.138183400809717,0.114037341772152,0.649747778595012,0.912759532890162,0.0241460590375647,0.0241460590375647,""
itgav,-0.109664959016393,-0.121101666666667,0.650040210892483,0.912759532890162,0.0114367076502732,0.0114367076502732,""
lto1,0.0882440082644628,0.0791082978723404,0.650218420696145,0.912759532890162,0.00913571039212238,0.00913571039212238,""
glb1,0.0140439834024896,0.0171807692307692,0.653694878383933,0.912759532890162,-0.0031367858282796,-0.0031367858282796,""
gzma,-0.109314372469636,-0.0902822916666667,0.65954789791437,0.912759532890162,-0.019032080802969,-0.019032080802969,""
fap,-0.119578542510121,-0.133447478991597,0.665776049640322,0.912759532890162,0.0138689364814752,0.0138689364814752,""
igsf21,-0.09892,-0.0819876146788991,0.668839114347609,0.912759532890162,-0.0169323853211009,-0.0169323853211009,""
smoc2,-0.151652892561983,-0.124742468619247,0.671688818056191,0.912759532890162,-0.0269104239427366,-0.0269104239427366,""
