protein,log2fc,se,t_stat,p_value,fdr,n_cases,n_controls,mean_cases,mean_controls,significant_fdr05,significant_fdr10
ptn,0.042737843285808104,0.024202428118626173,1.3149179232320818,0.18854380310200367,0.9453065578590893,474,47281,0.03824018987341773,-0.0019217888792538212,False,False
sorbs1,0.03922576097068656,0.019063023261187795,1.313133121617506,0.18914518630908897,0.9453065578590893,448,42045,0.07211941964285715,0.05682434891188014,False,False
tmprss11b,0.05821790277594086,0.03769197735972,1.31294963729893,0.18920723208263962,0.9453065578590893,431,40773,0.2322909512761021,0.1648181762440831,False,False
fcrlb,0.049109741300665304,0.03044944156204027,1.3124176298685737,0.18938560198617777,0.9453065578590893,476,47037,0.07898823529411764,0.0813493281884474,False,False
f11,-0.03637167651645449,0.015307864588983302,-1.3113890937353323,0.18973350818884596,0.9453298971278951,436,41582,-0.01859288990825688,0.004430053869462748,False,False
reps1,0.03822895705310986,0.01754528253821024,1.3099789082428255,0.19021025230478095,0.9453298971278951,433,40898,0.06497736720554273,0.03149721257763216,False,False
ifi30,0.039763089585216994,0.01947340676511781,1.309114249461015,0.1905029260982142,0.9453298971278951,430,40934,0.014434186046511624,0.021827319587628864,False,False
ube2z,0.04496470449224661,0.025283645620906025,1.3072779713724485,0.19112559600215034,0.9453298971278951,433,40898,0.12957413394919168,0.09305426182209398,False,False
ceacam1,0.03243348798688213,0.012445506363994517,1.3066765524085313,0.19132875220073675,0.9453298971278951,490,48242,0.014502857142857142,-0.011479495045810703,False,False
insl3,-0.056820575573363036,0.036940364292589324,-1.3057083888295062,0.19165881664242407,0.9453298971278951,444,42031,0.27000855855855854,0.6983113808855369,False,False
fcer2,-0.04359823583556546,0.025601368338288088,-1.3044206559734888,0.19209636372864689,0.9453298971278951,487,48193,-0.05424281314168378,0.001559851015707675,False,False
cxcl5,-0.06966663284794208,0.04890052823021617,-1.303913525428428,0.19226925710927437,0.9453298971278951,484,48017,-0.029691322314049595,0.0052718308099214874,False,False
ddc,-0.042943432718683006,0.024945321730773153,-1.303797058580578,0.1923089636352802,0.9453298971278951,484,48102,-0.040398347107438025,0.005853042493035632,False,False
ptprn2,-0.03549546208899281,0.016666768033085196,-1.3005708396869693,0.19341162288746122,0.9491496308366152,483,47636,-0.03399347826086957,0.0014371011419934499,False,False
fh,0.061931267910888294,0.041604656859057974,1.2980299842481737,0.19428429826350593,0.9518297973749912,431,40773,0.2392561484918794,0.16461517180487087,False,False
eppk1,0.05274819045523707,0.03334881543967785,1.2968418863920608,0.19469281528615243,0.9518722274231168,431,41017,0.07940649651972156,0.062356241314576885,False,False
mansc4,0.05191219913682883,0.03262306244473544,1.2937683345286604,0.19575270983438248,0.9518722274231168,428,40756,0.09794532710280372,0.09029006649327707,False,False
rab10,-0.037350477089653195,0.017477279702747497,-1.2937258342571483,0.19576715943997555,0.9518722274231168,445,42119,-0.006120449438202248,0.04942880647688692,False,False
ssc5d,0.03952039067825998,0.02175483525377937,1.2935736783735117,0.19581883645582854,0.9518722274231168,486,48362,-0.012636213991769545,-0.00598914023406807,False,False
enah,-0.03924312852028214,0.02122922098188363,-1.2928371801139065,0.19607363419956197,0.9518722274231168,487,47262,-0.03907433264887063,0.026613613473826753,False,False
cebpb,-0.03729354042595148,0.019143084590897058,-1.2889753382031224,0.19741290473930384,0.9518722274231168,474,47281,-0.032846097046413496,0.028141887861931857,False,False
paip2b,-0.044576947113930086,0.025490805325503522,-1.2878644655208003,0.1978004176872788,0.9518722274231168,433,40560,-0.01969411085450346,0.030711196992110456,False,False
pilrb,0.046381342053062845,0.028904535413547417,1.2876825476420994,0.19786261608225444,0.9518722274231168,486,48171,-0.06835781893004114,-0.07381911108343193,False,False
fam171a2,0.10473473592973885,0.07806505262667947,1.2869534901662079,0.1981175107149319,0.9518722274231168,448,42045,0.5119428571428571,0.39561492686407423,False,False
lypd1,0.049806800115502786,0.03205599785924961,1.2857825671850565,0.19852522148614196,0.9518722274231168,485,47038,0.20672938144329894,0.15247400824865004,False,False
pla2g1b,-0.039587228909081104,0.022250494675318422,-1.282969776867551,0.1995087114029365,0.9518722274231168,490,48690,-0.016322755102040808,-0.001381350379954816,False,False
cntn2,-0.040084918685760786,0.02280444074800931,-1.281727912105116,0.19994416656559133,0.9518722274231168,494,48576,-0.009927834008097167,0.03437158473320158,False,False
ism1,-0.03747149908002005,0.019831235916058936,-1.2809316561480253,0.20022378574019015,0.9518722274231168,489,48109,-0.055522494887525566,-0.014666291130557693,False,False
lilra2,0.036249027109672996,0.01842652829849674,1.2806069581635533,0.20033785669560872,0.9518722274231168,487,48193,0.013717967145790556,-0.02863612039092814,False,False
myl3,-0.05517316101878627,0.03633554658257792,-1.278428536875747,0.20110552677178034,0.9518722274231168,431,41017,-0.08156345707656612,0.09141989540922056,False,False
wnt9a,0.03319669913162519,0.014278757492466237,1.2781322692772528,0.20120900629164074,0.9518722274231168,487,47262,-0.00041806981519507277,0.001216541830646185,False,False
egln1,-0.04070297695243414,0.02349375946964103,-1.2779514013182436,0.2012726670515902,0.9518722274231168,489,48109,-0.02059775051124744,0.06598277245421855,False,False
cd40,-0.03416034869974511,0.015917934459251718,-1.2769515485026524,0.20162545219205733,0.9518722274231168,487,48134,-0.00483757700205339,0.05968749740308306,False,False
lilra3,-0.09280244523179526,0.06899261104649063,-1.2761864603524982,0.20189657805601993,0.9518722274231168,443,42120,-0.4511911963882619,-0.36571740147198484,False,False
gamt,0.03761113747870261,0.017985029586656327,1.2757193488864191,0.20206194224305457,0.9518722274231168,428,40756,0.08594906542056074,0.046075197516930025,False,False
serpinf1,-0.034276096035579885,0.01369967218684332,-1.2748303248281978,0.20237635890071082,0.9518722274231168,436,41558,-0.06588165137614678,0.0033352158429183314,False,False
klk3,-0.06257643060322556,0.04348418497444221,-1.2723315596122975,0.20326229130170598,0.9518722274231168,443,42120,0.1169752821670429,0.6334915740740741,False,False
batf,-0.060605765634670725,0.04157084499326076,-1.2717637427187465,0.2034642193003159,0.9518722274231168,436,40966,0.15593761467889908,0.2140440853390617,False,False
