protein,log2fc,se,t_stat,p_value,fdr,n_cases,n_controls,mean_cases,mean_controls,significant_fdr05,significant_fdr10
apobr,-0.013598704036651487,0.024683687872707,-0.34055169330166635,0.7334427636792593,0.9999786873994423,317,42708,-0.06992334384858044,-0.06096299756485905,False,False
susd5,0.012702390194585198,0.020286335384730906,0.3397943999571242,0.7340130254000727,0.9999786873994423,312,42683,0.08771698717948717,-0.002226611297237776,False,False
mamdc4,-0.015331687539264026,0.03280367330354852,-0.33947481703676435,0.7342536857614068,0.9999786873994423,317,43673,0.058498738170347,0.034730983674123604,False,False
cxcl8,-0.01732804026059837,0.042226675453826426,-0.33834724761875257,0.7351029298282529,0.9999786873994423,335,50142,0.07925791044776119,0.03979075126640341,False,False
psmd9,0.015302244856617428,0.03478161504465201,0.3382268621648045,0.7351936367409654,0.9999786873994423,336,50300,0.09116532738095237,0.06011254870775348,False,False
adgrd1,-0.013143323581489529,0.02320686020614162,-0.3372320292079573,0.7359436312889891,0.9999786873994423,313,42923,0.07005846645367413,0.023145740046129116,False,False
tnfrsf14,0.011632951221627294,0.01892946176595876,0.337119652772119,0.7360280923820801,0.9999786873994423,336,50588,0.07106502976190476,0.02350772712896339,False,False
atrn,-0.01094700865818452,0.009897543492350608,-0.3369524052501242,0.7361543766237421,0.9999786873994423,321,43949,-0.009007632398753894,-0.00697049307151471,False,False
st13,0.015401056091948043,0.03339314528811722,0.3364376859244045,0.7365424677003063,0.9999786873994423,313,42923,0.02291022364217252,0.002788841646669618,False,False
gpd1,0.015387190207652992,0.033591940186529716,0.3364150278310662,0.7365595234560665,0.9999786873994423,317,43673,0.09267996845425869,0.06110235385707416,False,False
smarca2,0.017838447362902122,0.04425277007675971,0.3364112490402067,0.7365621891022822,0.9999786873994423,329,49340,0.08445638297872342,0.0782435042561816,False,False
pcdh1,-0.010607888978125594,0.012944063865570732,-0.33637805055044107,0.736587176270474,0.9999786873994423,336,50924,0.03489122023809524,0.021142096064723902,False,False
efcab14,-0.011778504404564377,0.016255466661252497,-0.3362142937073334,0.7367108776854114,0.9999786873994423,321,43695,0.03956386292834891,0.017680553839112025,False,False
cep43,0.017475585779102694,0.04297153970504528,0.3361886598241571,0.7367300276577631,0.9999786873994423,327,49220,0.06564189602446484,0.037908728159284845,False,False
adgrv1,-0.017350308000470202,0.040934585907416964,-0.3359946905943408,0.7368765182926312,0.9999786873994423,308,42470,0.057233441558441546,0.07959849776312691,False,False
atp6ap2,0.012930147270028875,0.02513579256230886,0.33552136353385204,0.7372332489920801,0.9999786873994423,323,49352,0.06851114551083591,0.03639927155940995,False,False
mapk13,-0.01364286196766232,0.02583072154212268,-0.3346674315656104,0.7378776189468368,0.9999786873994423,307,42313,-0.003114983713355051,0.001955072909035049,False,False
prtfdc1,0.025005252959496693,0.0687805513097456,0.33462047484976604,0.7379128108141702,0.9999786873994423,329,49340,-0.13166200607902737,-0.15254176428860963,False,False
jchain,0.01596048538777071,0.03776689787859656,0.33456676127703927,0.7379533280850089,0.9999786873994423,329,49574,-0.0017045592705167132,-0.016475722152741356,False,False
c1qbp,0.016720617237733756,0.03921852009595606,0.33448281787054107,0.7380168445863834,0.9999786873994423,320,43796,0.145311875,0.12131288587998904,False,False
tst,-0.018318835479867717,0.046322016670376116,-0.3344226086983298,0.7380620957576082,0.9999786873994423,328,49258,0.02230396341463415,0.041110548540338625,False,False
f10,-0.01163054641244603,0.01600034126638441,-0.3337629109809954,0.7385600550005811,0.9999786873994423,320,43915,-0.030555468750000002,-0.008753790276670842,False,False
ngf,0.009981098771992955,0.007501639405145196,0.3334264296259838,0.738813800598191,0.9999786873994423,330,50144,0.007618636363636365,-0.003254208878430121,False,False
slc39a5,-0.014908144057541895,0.03413820772019854,-0.33336801005223016,0.7388578836690086,0.9999786873994423,333,50466,0.04285975975975976,-0.01580923096738398,False,False
cntn2,0.01327013776991854,0.027572976871335947,0.3331551536035447,0.7390185300320466,0.9999786873994423,339,50961,0.08069380530973451,0.036127816369380505,False,False
dkk1,0.015500944944322975,0.036648292637854574,0.33282459696672395,0.7392680497475923,0.9999786873994423,338,50978,0.022370562130177497,-0.015597994232806311,False,False
nfkbie,-0.014121863836669225,0.030854935949323536,-0.33236168478500655,0.7396175692454143,0.9999786873994423,323,49352,0.038649845201238396,0.03822738794780353,False,False
ugdh,-0.02225732941792708,0.059124478723254305,-0.3322683700492257,0.7396882504684625,0.9999786873994423,304,42451,0.23084506578947364,0.26188145037808297,False,False
per3,0.025548825983893932,0.07054978586421576,0.3308039495930206,0.7407941923217851,0.9999786873994423,304,42616,0.16770526315789472,0.12266354420874788,False,False
crh,-0.020524567236038134,0.054834970827761495,-0.33028509341068485,0.7411859506067973,0.9999786873994423,322,49269,0.0026187888198757753,0.036549633643873425,False,False
usp8,0.021763254650921424,0.05927061185596969,0.32953103900994934,0.7417557190739774,0.9999786873994423,330,49615,0.10356742424242424,0.07092453894991435,False,False
jun,-0.014034022235623493,0.031086620175972197,-0.32934235476013757,0.741898315932578,0.9999786873994423,329,49574,0.06457203647416414,0.06624775890587808,False,False
pttg1,0.012934457090612653,0.023952601418488095,0.32846923657459975,0.7425584859131437,0.9999786873994423,316,43076,0.02059050632911392,0.009655298774259448,False,False
nfx1,0.01684700184971655,0.040626598935555584,0.3277625276285413,0.7430928271645973,0.9999786873994423,304,42451,0.08384967105263158,0.056683667051424,False,False
angptl7,0.011950340105479827,0.022431770610289323,0.3277471717035001,0.7431041712640271,0.9999786873994423,339,50961,0.056713864306784656,0.0013902817841094164,False,False
fam13a,0.016521240801508956,0.039766346036434565,0.3275292052902683,0.743269215172776,0.9999786873994423,321,43695,0.07123208722741435,0.0646143746424076,False,False
ceacam21,-0.019831826856760947,0.053247021301605746,-0.327377777912254,0.7433835210250663,0.9999786873994423,333,50466,0.303546996996997,0.3009501654579321,False,False
ap1g2,-0.01858867052741644,0.047559619951038655,-0.3273020565728543,0.7434409946623748,0.9999786873994423,317,43673,0.044885646687697164,0.05824032354086047,False,False
defb118,-0.015083538664692697,0.03366953394123139,-0.3272423608686394,0.7434861850860481,0.9999786873994423,308,42470,0.0784616883116883,0.09585136802448788,False,False
cst3,0.011130024098041572,0.018167007342395104,0.3265990994432491,0.7439724653155703,0.9999786873994423,337,50654,0.08730504451038576,0.015268048920124767,False,False
nfya,0.012807242495084342,0.023412864404989128,0.32639934270328885,0.7441238325162781,0.9999786873994423,304,42451,0.06964177631578948,0.0508881145320487,False,False
sord,0.01693184468094238,0.04327685515306177,0.3256771392149285,0.7446699767351239,0.9999786873994423,333,50735,0.060770420420420426,0.0006487267172563317,False,False
scarb2,0.011491966140439286,0.019773304457886196,0.32540961027365334,0.7448724582606807,0.9999786873994423,323,49186,0.1008702786377709,0.030622581628918795,False,False
rcc1,0.014065589355970307,0.030110159916728076,0.32524435838305044,0.7449976858451521,0.9999786873994423,317,43673,0.143442429022082,0.11638763767087218,False,False
itgbl1,0.012323564214171424,0.021853193016006748,0.3251505343164449,0.7450686830558279,0.9999786873994423,319,43886,0.09725360501567397,0.034892973841316136,False,False
nme3,0.0104637496794365,0.014402702462109646,0.3244920114841773,0.7455669021927647,0.9999786873994423,336,50588,0.016989285714285714,0.010919678579900373,False,False
clta,0.013293531943958029,0.028947186942565806,0.3236886457432448,0.7461751232456335,0.9999786873994423,330,49615,0.08015666666666667,0.05741382142497228,False,False
angptl1,0.011054142681308433,0.0179700969353862,0.3233766635444198,0.7464113497084356,0.9999786873994423,328,49802,0.024074390243902444,0.007918307497690855,False,False
crlf1,0.010672198150478754,0.016240817665639333,0.32274432850887835,0.7468901985882354,0.9999786873994423,336,50756,-0.002686904761904763,-0.0006494897155016157,False,False
cep350,0.012331233203675861,0.02172974890235189,0.32197655765150357,0.7474720331639104,0.9999786873994423,307,42313,0.019415635179153096,0.00853431214993028,False,False
abl1,0.016475715197850488,0.04238178291015731,0.3210635832871233,0.7481635319760251,0.9999786873994423,336,50300,0.10870714285714285,0.07327103876739563,False,False
taldo1,0.013154318159623684,0.02677790861192189,0.32097278568672977,0.7482325376618028,0.9999786873994423,319,43721,0.05627366771159874,0.024430230324100546,False,False
brd2,-0.0119908195672586,0.020130431875237286,-0.32090880395075966,0.7482810697028335,0.9999786873994423,308,42470,0.005258441558441562,0.01637862020249588,False,False
add1,0.016778403631084276,0.04189269612130564,0.32080385414543444,0.748360589077038,0.9999786873994423,313,42923,0.025720926517571893,0.006013743214593573,False,False
msra,0.01708599491231667,0.0447993837252581,0.3207416502658391,0.7484074947492849,0.9999786873994423,337,50688,0.015424035608308597,-0.008148451309974747,False,False
pglyrp2,-0.011483250151524564,0.017672458523000124,-0.3206996360276903,0.7484395564266798,0.9999786873994423,317,43392,-0.03340378548895899,-0.030470595962389383,False,False
eng,-0.009800527340380118,0.010599791056198953,-0.32042647872874924,0.7486463558980271,0.9999786873994423,342,51155,-0.007667397660818712,0.0018714172612647835,False,False
gipr,-0.01337309165987798,0.02754643713480865,-0.32000307064780203,0.7489675606178805,0.9999786873994423,304,42616,0.01242598684210526,0.025163830486202368,False,False
gip,0.01398798107449862,0.03046117250051966,0.3198047679377916,0.7491178859546999,0.9999786873994423,317,42708,0.18338643533123028,0.09199088812400487,False,False
camkk1,0.01288465604173862,0.027833357943825826,0.3193320352772121,0.7494760855713879,0.9999786873994423,323,49352,0.059343962848297224,0.04027248034527476,False,False
kazn,0.021969162391546584,0.061530278270170546,0.3187961040146197,0.7498826456111747,0.9999786873994423,321,43695,-0.027486915887850457,-0.04758303009497654,False,False
lrrc25,0.012023767695694135,0.024214691296262723,0.3186868637301888,0.7499652914265058,0.9999786873994423,336,50300,0.04112291666666666,0.02438989662027833,False,False
jam3,-0.013700590761026015,0.029492334084063015,-0.3185134929629988,0.750096999904431,0.9999786873994423,313,42923,0.07426102236421724,0.07141716678703725,False,False
doc2b,-0.011985351990009099,0.02074595002477681,-0.3184380949123657,0.7501541927445934,0.9999786873994423,317,42665,0.013092902208201897,0.0245809656627212,False,False
rpgr,-0.012535710268185589,0.023740102714175537,-0.3184268189356037,0.7501627448423819,0.9999786873994423,317,42665,0.004703312302839118,0.020334305636938943,False,False
serpinb1,0.019933384105410783,0.055549042428213506,0.3183133679348272,0.7502485559346213,0.9999786873994423,336,50379,0.06349806547619048,0.03571871513924453,False,False
fgf20,-0.012905059321501672,0.025661018734475585,-0.3180738687403708,0.7504304524485546,0.9999786873994423,304,42616,0.06357598684210526,0.07868525436455791,False,False
ahnak2,0.011373487934186502,0.01716827222987546,0.3179005082470115,0.7505619500054067,0.9999786873994423,317,42708,0.05319148264984227,0.017582606303268706,False,False
morf4l1,0.012423432983993132,0.02347294256076228,0.3178317544497771,0.7506140916548407,0.9999786873994423,316,43076,0.04396344936708861,0.03525657210511654,False,False
twf2,-0.01850884903509253,0.04940550070526488,-0.3174328750164643,0.7509166647796597,0.9999786873994423,319,43886,0.0054871473354232,0.023479238253657202,False,False
nudt5,0.013511100779054815,0.031744878588378066,0.31491047602900735,0.7528309186575612,0.9999786873994423,336,50547,0.0589282738095238,0.029655140760084672,False,False
c1r,-0.010344236131252961,0.011137232091522686,-0.3145371981712402,0.753114551291299,0.9999786873994423,321,43949,-0.00029922118380062073,0.007608696443605088,False,False
mrpl28,-0.011870405619326205,0.021535048828798073,-0.3144961288194882,0.7531457435397516,0.9999786873994423,320,43796,0.0302903125,0.04164871906110147,False,False
rest,-0.011860009555795003,0.020698395269959473,-0.3143977695795676,0.7532204890014773,0.9999786873994423,307,42313,0.0018420195439739534,0.015736289083733132,False,False
hnrnpul1,0.01341328758682231,0.029325534213789008,0.3143390045895848,0.75326506360143,0.9999786873994423,320,43796,0.0918628125,0.05279180290437483,False,False
