protein,logFC_ms,t_ms,P.Value_ms,fdr_ms,logFC_ytd,t_ytd,P.Value_ytd,fdr_ytd,gap_5yr
slc34a3,0.00261698616213865,0.0346116433158402,0.9723945381792,0.995040916261799,0.00156993228785572,0.169009302986203,0.865814664904554,0.998656629238247,0.0104666476014173
slc39a14,0.0293595475505174,0.467859878459267,0.639960380147564,0.945647038888101,-0.0018484205012697,-0.239759662066355,0.81055300919078,0.998656629238247,0.0201174450441689
slc39a5,-0.120614967338368,-1.01945994004634,0.308167477927833,0.859232078488089,0.00829925586632668,0.570974892240103,0.568111776323192,0.998656629238247,-0.0791186880067351
slc44a4,0.055983776833651,0.475647848998498,0.634402301541362,0.945473295576533,-0.00737922372496456,-0.510320384901046,0.609910523224861,0.998656629238247,0.0190876582088282
slc4a1,-0.0870874386247755,-1.0384460170489,0.29924857143028,0.859232078488089,0.00861838152522454,0.836494364181203,0.403025013430552,0.998656629238247,-0.0439955309986528
slc51b,0.266950208644564,2.09137409433385,0.0366812247491559,0.581047495520986,-0.0293904334900804,-1.87420178493799,0.0611186318144149,0.998656629238247,0.119998041194162
slc9a3r1,0.0442499025229832,0.712199507661574,0.476464410522995,0.89023613545086,-2.39890137940778e-05,-0.00314275583139549,0.99749291249796,0.999781041994087,0.0441299574540128
slc9a3r2,0.0221198562052713,0.269023761645739,0.787952541063242,0.970685504458358,-0.00525697972903063,-0.520419474539518,0.602856648951085,0.998656629238247,-0.00416504243988181
slirp,0.150123260018151,1.48424960869807,0.137976353187245,0.776257022755728,-0.0186576445788367,-1.50149768835001,0.13346093588682,0.998656629238247,0.0568350371239678
slit2,-0.146002450510278,-1.40019122754725,0.161686036802267,0.781304704690636,0.0080496456451805,0.628366271981552,0.529870408478463,0.998656629238247,-0.105754222284375
slitrk1,-0.0922225002745087,-1.58395142762699,0.113439190349846,0.765975985070713,0.00429069561073403,0.599848489146248,0.548707967563249,0.998656629238247,-0.0707690222208385
slitrk2,-0.082028204201081,-1.01874771500737,0.308505444130386,0.859232078488089,-0.00170127634460909,-0.171983666395922,0.863476169263641,0.998656629238247,-0.0905345859241264
slitrk6,-0.02088555570592,-0.324358804527339,0.745716697133138,0.966483136342231,-0.000528686170228021,-0.0668323145388823,0.946725102218773,0.998656629238247,-0.0235289865570601
slk,0.375759601488503,2.54095618346621,0.0111662310087877,0.550930482484426,-0.0407257741147302,-2.24163724363972,0.0251468890912683,0.946270457790156,0.172130730914852
slmap,-0.0142050464487126,-0.14510440666447,0.884650118223344,0.976109678783387,0.00178753057730602,0.148627892280782,0.881869479150983,0.998656629238247,-0.00526739356218255
slurp1,0.0766455381107048,1.25759353287474,0.208756479585774,0.816551379909714,-0.0112323128509133,-1.50013901072353,0.133812421140369,0.998656629238247,0.0204839738561384
smad1,-0.0501621582623607,-0.629604089063753,0.529060274901148,0.913070620540733,0.00113707873284155,0.116169135833116,0.907535789978866,0.998656629238247,-0.0444767645981529
smad2,0.062110238803411,0.988532500052752,0.323069218153138,0.865066924605153,-0.00479059522765761,-0.620620513969532,0.534954186836311,0.998656629238247,0.038157262665123
smad3,0.0716306296821012,1.18402989189318,0.236609840802391,0.836708205636882,-0.00159362785153701,-0.214417241732166,0.830254107488104,0.998656629238247,0.0636624904244162
smad5,0.00802273249419959,0.184769117334783,0.85343790812898,0.975118213863549,0.000686434244335616,0.128681142955259,0.897629140933185,0.998656629238247,0.0114549037158777
smarca2,-0.280842068533154,-2.10047103475772,0.0358726881992105,0.579951074728645,0.0247524609579811,1.50689091318024,0.132072777652874,0.998656629238247,-0.157079763743249
smc3,0.0254308354055113,0.264772228548144,0.791225385655661,0.972088761475552,-0.00628494241590088,-0.532625558618803,0.594380537031578,0.998656629238247,-0.00599387667399306
smndc1,0.0313467775775827,0.362780129890426,0.71682597454776,0.955439749042367,0.000542061249055191,0.0510631787898265,0.959282737378465,0.998656629238247,0.0340570838228587
smoc1,-0.149857902891273,-2.46093818903025,0.0139819384306158,0.560031169587705,0.00917215839517856,1.22603112849265,0.220400965047467,0.998656629238247,-0.10399711091538
smoc2,0.000632230768515556,0.00852427305570374,0.993199957047372,0.996594606028011,-0.000455313716745105,-0.0499690801929561,0.960154426170662,0.998656629238247,-0.00164433781520997
smpd1,-0.116486631120957,-1.17109973439796,0.241765532648847,0.840417331613934,0.0241840239990038,1.9790431263377,0.0480142469228037,0.998656629238247,0.00443348887406263
smpd3,-0.102543522897131,-0.910918081565239,0.362501296116995,0.876593157450518,0.0181759641120858,1.31424835380255,0.188986088793389,0.998656629238247,-0.0116637023367018
