protein,years_to_dx,pred_npx,pred_lci,pred_uci,hc_mean,hc_lci,hc_uci
MOG,0,0.063681229906889,-0.0394439871728742,0.166806446986652,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,0.25,0.0632674845619762,-0.0385382368144492,0.165073205938402,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,0.5,0.0628916674530461,-0.0372726798336,0.163056014739692,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,0.75,0.0625513034926766,-0.0357235452226076,0.160826152207961,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,1,0.0622439175934454,-0.0339722267204064,0.158460061907297,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,1.25,0.0619670346679302,-0.0321042212762279,0.156038290612088,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,1.5,0.0617181796287087,-0.0302077079042126,0.15364406716163,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,1.75,0.0614948773883586,-0.0283715632709467,0.151361318047664,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,2,0.0612946528594577,-0.026682648407122,0.149271954126037,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,2.25,0.0611150309545836,-0.0252223005095707,0.147452362418738,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,2.5,0.0609535365863142,-0.0240621434855357,0.145969216658164,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,2.75,0.0608076946672272,-0.0232595777916613,0.144874967126116,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,3,0.0606750301099001,-0.0228535595120252,0.144203619731825,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,3.25,0.0605530678269108,-0.0228614189264343,0.143967554580256,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,3.5,0.060439332730837,-0.0232773916168125,0.144156057078486,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,3.75,0.0603313497342563,-0.0240732139062088,0.144735913374721,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,4,0.0602266437497466,-0.0252006705661562,0.14565395806565,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,4.25,0.0601227396898856,-0.0265955631983316,0.146841042578103,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,4.5,0.0600171624672509,-0.0281823535466065,0.148216678481108,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,4.75,0.0599074369944203,-0.0298787718971975,0.149693645886038,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,5,0.0597910881839715,-0.0315998936775648,0.151182070045508,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,5.25,0.0596656409484822,-0.0332614567240391,0.152592738621004,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,5.5,0.0595286202005302,-0.0347824220135869,0.153839662414647,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,5.75,0.0593775508526931,-0.0360869319679033,0.15484203367329,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,6,0.0592099578175488,-0.0371058986414147,0.155525814276512,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,6.25,0.0590233660076748,-0.0377784871016468,0.155825219116996,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,6.5,0.058815300335649,-0.0380537782937164,0.155684378965014,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,6.75,0.058583285714049,-0.0378929269881139,0.155059498416212,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,7,0.0583248470554525,-0.037272194831736,0.153921888942641,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,7.25,0.0580381626130447,-0.0361989326813581,0.152275257907447,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,7.5,0.057724024002439,-0.0347500358936829,0.150198083898561,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,7.75,0.0573838761798564,-0.0330374312925138,0.147805183652227,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,8,0.057019164101518,-0.0311977917634804,0.145236119966516,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,8.25,0.0566313327236446,-0.029393946733691,0.14265661218098,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,8.5,0.0562218270024571,-0.0278146989580932,0.140258352963007,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,8.75,0.0557920918941766,-0.0266709748948795,0.138255158683233,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,9,0.0553435723550239,-0.0261859119430128,0.136873056653061,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,9.25,0.05487771334122,-0.0265773443626967,0.136332771045137,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,9.5,0.0543959598089858,-0.0280339960751541,0.136825915693126,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,9.75,0.0538997567145422,-0.0306909656996556,0.13849047912874,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,10,0.0533905490141102,-0.0346129083931597,0.14139400642138,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,10.25,0.0528697816639108,-0.039791342797282,0.145530906125104,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,10.5,0.0523388996201647,-0.046156115128552,0.150833914368881,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,10.75,0.0517993478390931,-0.0535950101448147,0.157193705823001,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,11,0.0512525712769167,-0.061973969470418,0.164479112024252,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,11.25,0.0507000148898566,-0.071152947236155,0.172552977015868,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,11.5,0.0501431236341338,-0.0809959693601514,0.181282216628419,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,11.75,0.0495833424659691,-0.0913762488641814,0.19054293379612,-0.00755734102078591,-0.382895566974735,0.367780884933163
MOG,12,0.0490221163415834,-0.102177954978985,0.200222187662152,-0.00755734102078591,-0.382895566974735,0.367780884933163
GFAP,-8,-0.00720954128203936,-0.221722380925013,0.207303298360934,0.00678631753783877,-0.494802729276765,0.508375364352442
