protein,comparison,logFC,AveExpr,t,P.Value,adj.P.Val,B
rrm2b,combined_vs_hc,-0.00825130934433854,-0.00155769470415266,-0.316272222262856,0.751812810830959,0.995266695411486,-6.2092977208053
scrib,combined_vs_hc,-0.014453992761324,0.194000340453115,-0.316066910286234,0.751968627710179,0.995266695411486,-6.20936031303473
f10,combined_vs_hc,-0.00436553098161849,-0.0264382032255163,-0.315230402212797,0.752603581073391,0.995266695411486,-6.20961491408487
txnrd1,combined_vs_hc,0.00451031263042454,0.0164854532663442,0.315032352557451,0.752753935653427,0.995266695411486,-6.20967509404412
il17ra,combined_vs_hc,0.00846726659961594,-0.0356350302581583,0.314955686128255,0.752812141499522,0.995266695411486,-6.20969837998
prkar2a,combined_vs_hc,0.00645824853916713,-0.0359157350651197,0.314889715874987,0.752862227837467,0.995266695411486,-6.20971841262437
cdcp1,combined_vs_hc,0.00965719931975539,0.166032060953016,0.314787782470676,0.75293962038452,0.995266695411486,-6.2097493576522
suox,combined_vs_hc,-0.00917132368958701,0.123585742495243,-0.314409778806396,0.753226639898958,0.995266695411486,-6.20986402485808
ifit1,combined_vs_hc,0.00826657612240753,0.0267770481028983,0.314290644003816,0.753317106447854,0.995266695411486,-6.20990013578294
sh3bp1,combined_vs_hc,0.00682963853715593,0.0829629714475349,0.313425942891521,0.753973829860219,0.995266695411486,-6.2101618250231
adam15,combined_vs_hc,0.00565893654495547,0.0104179437695814,0.312752001554944,0.754485798478055,0.995266695411486,-6.21036528367455
cd5,combined_vs_hc,-0.00599436159193378,0.011299098306922,-0.31251274493522,0.754667578967805,0.995266695411486,-6.21043740841076
wasf1,combined_vs_hc,0.0101456122338587,0.0446132035047055,0.311866979022556,0.75515828169359,0.995266695411486,-6.21063180125434
akr1c4,combined_vs_hc,-0.00971388353528262,0.0575809159565858,-0.311732362207045,0.755260586386294,0.995266695411486,-6.21067227387759
nudt5,combined_vs_hc,0.00507654068545649,0.0154690491025568,0.3116042639619,0.75535794115082,0.995266695411486,-6.21071077046448
cfhr5,combined_vs_hc,0.00682520853676558,-0.0174372219335405,0.311571289778933,0.755383002184273,0.995266695411486,-6.210720677435
amfr,combined_vs_hc,-0.0102831826526408,0.0294065821504194,-0.31130614103733,0.755584529849266,0.995266695411486,-6.21080030227672
pafah2,combined_vs_hc,0.00620349237229303,0.0014138152901537,0.310953128888835,0.755852864369784,0.995266695411486,-6.21090620752164
klk8,combined_vs_hc,-0.00621042472749256,0.0184632044898679,-0.309151079063953,0.757223111871101,0.995266695411486,-6.21144495839918
eno2,combined_vs_hc,0.00602241903325248,0.00164478065332723,0.308841164689716,0.757458842480255,0.995266695411486,-6.21153729658514
pglyrp2,combined_vs_hc,-0.00471891692689931,-0.0288957730597819,-0.308549653191469,0.757680595882812,0.995266695411486,-6.21162406715944
ager,combined_vs_hc,0.00779139999564632,-0.00266529424869337,0.308133035578045,0.757997552395146,0.995266695411486,-6.2117479342748
usp25,combined_vs_hc,0.00567731761970149,-0.0192823848113609,0.307453469310148,0.758514643668594,0.995266695411486,-6.21194962112466
tgfbr2,combined_vs_hc,0.00522988920102263,0.0815099120167712,0.307443828663411,0.75852198014662,0.995266695411486,-6.211952479146
igbp1,combined_vs_hc,0.00697210631346493,0.00357542755977939,0.307259295884932,0.758662412746594,0.995266695411486,-6.21200716760027
inhbc,combined_vs_hc,-0.00797870402370446,-0.00263924286178721,-0.306719212002357,0.759073471567759,0.995266695411486,-6.21216703912683
ggt1,combined_vs_hc,0.00935402207237507,0.113058278134732,0.306159260580585,0.759499723527222,0.995266695411486,-6.2123324947354
tpd52l2,combined_vs_hc,0.0088030111118857,-0.109209843623895,0.305343423873308,0.760120893908618,0.995266695411486,-6.212573018744
prkcq,combined_vs_hc,-0.00813771727798077,0.0285751840630119,-0.304897220217365,0.760460694674523,0.995266695411486,-6.21270429649335
cd5l,combined_vs_hc,0.00750542201645446,0.0172453960667717,0.304854847432478,0.760492965539506,0.995266695411486,-6.21271675302613
lap3,combined_vs_hc,-0.00732743915835388,-0.00190838746124037,-0.30463196849219,0.760662715699441,0.995266695411486,-6.21278224532632
fgf6,combined_vs_hc,0.00618864615164248,0.0422474574021901,0.304348766288309,0.760878426191536,0.995266695411486,-6.21286539433853
ing1,combined_vs_hc,-0.00674415086374017,-0.0010245515346528,-0.30402737697449,0.761123245708912,0.995266695411486,-6.21295966152431
mog,combined_vs_hc,-0.0062169678028926,0.0374440340995771,-0.301826126466882,0.762800698547615,0.995266695411486,-6.21360263656411
phactr2,combined_vs_hc,0.00864888287926524,-0.0401502836106811,0.301530700457923,0.763025911615085,0.995266695411486,-6.21368857354027
metap1,combined_vs_hc,0.00552173771405967,0.0036445365587985,0.301362890101929,0.763153847966051,0.995266695411486,-6.21373735070474
slamf1,combined_vs_hc,0.0107382710153218,-0.00811594789858575,0.301315840757565,0.763189718913046,0.995266695411486,-6.21375102158754
fam171a2,combined_vs_hc,-0.0252315407875431,0.385292801864235,-0.300358495666751,0.763919719902879,0.995266695411486,-6.21402872880678
tcof1,combined_vs_hc,-0.0043638299787976,0.0231101028876952,-0.299660989949748,0.764451718753836,0.995266695411486,-6.21423050519783
sdc4,combined_vs_hc,0.00785737102813572,-0.0494738822313943,0.299486186585667,0.764585061537184,0.995266695411486,-6.21428099928879
cd99l2,combined_vs_hc,-0.0038666401884688,0.00717206737470787,-0.299229869824609,0.764780596659438,0.995266695411486,-6.21435498624853
impact,combined_vs_hc,-0.00643573922357933,-0.00626163507726006,-0.299009845669058,0.764948457383936,0.995266695411486,-6.21441844666082
st6gal1,combined_vs_hc,0.00464849737701478,0.0194632852201327,0.298822544120026,0.765091362097546,0.995266695411486,-6.21447243228298
gchfr,combined_vs_hc,-0.00719173544927972,0.0865438933537062,-0.297284183602411,0.766265381154693,0.995266695411486,-6.21491455161747
galnt7,combined_vs_hc,-0.00375298759193399,-0.0180434307591505,-0.297211671422598,0.766320733007503,0.995266695411486,-6.21493533504644
plau,combined_vs_hc,-0.00468793405687628,0.0166738518628052,-0.297181945076668,0.766343424827484,0.995266695411486,-6.2149438537416
hmbs,combined_vs_hc,-0.00779208222236506,4.7388063137326e-05,-0.296951679874518,0.766519206216617,0.995266695411486,-6.21500981210543
rbp7,combined_vs_hc,-0.00921025019214819,0.109040125287307,-0.29688499750447,0.766570112895306,0.995266695411486,-6.21502890340453
akt1s1,combined_vs_hc,-0.00722860111135328,-0.0328467849616383,-0.296460493072973,0.766894211845973,0.995266695411486,-6.2151503393692
mapk13,combined_vs_hc,-0.00621875785176257,-0.00830503653670758,-0.295579131555741,0.767567240452506,0.995266695411486,-6.21540191140116
rilp,combined_vs_hc,0.00783029479261845,-0.0202063736952671,0.295384152896444,0.767716154501455,0.995266695411486,-6.21545746409392
efhd1,combined_vs_hc,0.0050120767180255,0.0722261041621587,0.295332364892361,0.767755708792086,0.995266695411486,-6.21547221320421
siglec7,combined_vs_hc,-0.00477537018441598,0.0320816872631685,-0.295129762662963,0.767910456762553,0.995266695411486,-6.2155298890299
ca6,combined_vs_hc,-0.0117767232128592,-0.0342972145178243,-0.294907157502648,0.768080493680936,0.995266695411486,-6.21559321356102
setmar,combined_vs_hc,0.00494558854313201,0.0247976727437371,0.294540592118674,0.76836051892265,0.995266695411486,-6.21569738636434
plb1,combined_vs_hc,-0.00915649474604724,-0.0584826392024949,-0.293917164225357,0.768836835037713,0.995266695411486,-6.21587425838676
rab3gap1,combined_vs_hc,-0.00854091131242729,0.0720001194498671,-0.293666412977238,0.76902844054075,0.995266695411486,-6.21594529306226
agrn,combined_vs_hc,0.00544572636744176,0.0660809089687481,0.293083205825676,0.769474138749828,0.995266695411486,-6.21611027383566
nt5c3a,combined_vs_hc,0.00800552389267861,-0.0781043699407471,0.292482453509638,0.769933324992356,0.995266695411486,-6.2162798749773
pnma1,combined_vs_hc,-0.00605714730328896,0.0527190535372839,-0.291118416575937,0.770976228802388,0.995266695411486,-6.21666367044824
itprip,combined_vs_hc,0.00635586340213611,0.0552690850549981,0.288930880180646,0.772649621123284,0.995266695411486,-6.21727542624808
lmnb1,combined_vs_hc,0.00930100578069523,0.0137786889912863,0.288666637583247,0.772851829671104,0.995266695411486,-6.21734901071258
cabp2,combined_vs_hc,-0.00903810863242804,0.064037054536508,-0.287506446575739,0.773739834636317,0.995266695411486,-6.21767129601038
ankmy2,combined_vs_hc,0.00681550367982815,-0.0178507349081487,0.287180851530032,0.773989096912356,0.995266695411486,-6.21776150866641
cd58,combined_vs_hc,0.00295653950833233,-0.00694835704684882,0.286358551482076,0.774618719998332,0.995266695411486,-6.21798888836976
