gene,Endothelial,Pericytes,Smooth muscle,Fibroblasts,Oligodendrocytes,Microglia,Astrocytes,Neurons,T cells,B cells,NK cells,Monocytes,Dendritic cells,Macrophages,Plasma cells,Granulocytes,logFC,direction
MIA,1,,,,,,,,,,,,,,,,-0.0568713761353005,Down in MS
IGSF3,0.478096532869698,0.623259977270534,0.539380826659589,0.520809942721797,0.166332257071381,0.508895564804663,0.426971240622792,1,,,,,,0.106059064826701,,0.381812633376123,-0.0578227896228904,Down in MS
SFRP4,0.0765105030784093,0.0998547054057987,0.092438340767435,0.120864470406715,0.0543210639067767,0.0596259802711165,0.0656506123741362,0.0382480867980134,0.168855534709193,,,,,0.142589118198874,1,0.951219512195122,-0.0596478139926735,Down in MS
FAM3B,0.709062304544337,0.407019978272938,0.426496285059646,0.291954331007792,0.347262665718443,1,0.592776911595695,,0.214423922669965,0.61804542416637,,0.441461017261693,,0.479300533026981,,0.756790315305759,-0.060000819511494,Down in MS
ARHGAP1,0.0299625754126764,0.0325930774496617,0.053091445121023,0.00239848096622477,0.0635561460704753,0.081003630825071,0,0.0593375122580878,0.420815548894304,0.314038527182081,0.721732610083297,0.915872649560066,1,0.433758218192755,0.204025838145245,0.40463721227124,-0.0600933443723618,Down in MS
ADA,0.0413358370963369,0.0471201613496047,0.0311895599778473,0.0350484015821304,0.0612594394671891,0.0490619380984766,0.0336734598423098,0.0137880797836145,0.236227824463119,0.099906629318394,0.406162464985994,0.971055088702148,1,0.199813258636788,0.283846872082166,,-0.0609570418898548,Down in MS
CD209,0.0581720423646038,0.0722759184917865,0.0953382059815414,,0.061521218678,0.262837697897642,,,,,,,,1,,,-0.0628291812722979,Down in MS
CNTN5,,,,0.804791655843062,,,,1,,,,,,,,,-0.0638792563396746,Down in MS
SMOC2,0.758908401906686,1,0.998560454478257,0.916364956034491,0.394419070324327,0.639305651059783,0.736454147894218,,0.13153010569093,0.13153010569093,,,,0.295942737804593,0.339786106368236,0.416512001354612,-0.063941998074138,Down in MS
TNXB,1,0.657080224088433,0.63111484622295,0.791987953670548,0.467100636765485,0.664589745864392,0.580161864671144,0.378424614556245,0.259316120201836,0.294677409320268,,,,0.400761276675565,0.48327095128524,0.294677409320268,-0.0647922042665551,Down in MS
PEPD,0.0261205665441304,0.014851301360623,0.017053331359609,0,0.0214800151485735,0.0393332467738783,0.0077404751221833,0.0183652622976441,0.316657622175843,0.287784000577639,0.260113446546027,0.464634932866637,0.299814676243557,1,0.379217135638618,0.652313473254962,-0.066483406164663,Down in MS
CBLN4,,0.878779488425335,,,,1,0.609545993731894,,,,,,,,,,-0.0678461007767902,Down in MS
PLXDC1,0.561705863876382,0.760150835910095,0.541669319991934,0.548809201073207,0.338934297254375,0.718396409618442,0.552876128420015,0.207847014853443,0.866141732283465,,1,,0.196850393700787,0.889763779527559,0.078740157480315,,-0.0678675897199601,Down in MS
NELL2,0.117812621018645,0.0841832285266473,0.0650490869680404,0.246594250172267,0.117362674017235,0.238463845845124,0.175256996023345,0.432814060717801,1,,0.0810810810810811,,,,,,-0.0683236244648908,Down in MS
ITGB6,1,0.788279497085344,0.782325992943203,0.521616500704456,0.305282090298046,0.992424290771898,,,,,,,,0.341090801975756,,0.629706095955242,-0.069167693302969,Down in MS
RGMA,0.501567451958906,0.745774041922524,0.785882911760642,0.687009385722695,0.34993464055684,0.653147799186478,0.752270202012179,1,0.155661390372512,,,,,0.203557202794823,0.155661390372512,0.119739531055778,-0.0691781087314508,Down in MS
