gene,Endothelial,Pericytes,Smooth muscle,Fibroblasts,Oligodendrocytes,Microglia,Astrocytes,Neurons,T cells,B cells,NK cells,Monocytes,Dendritic cells,Macrophages,Plasma cells,Granulocytes,logFC,direction
SMOC2,0.758908401906686,1,0.998560454478257,0.916364956034491,0.394419070324327,0.639305651059783,0.736454147894218,,0.13153010569093,0.13153010569093,,,,0.295942737804593,0.339786106368236,0.416512001354612,-0.0845100409191514,Down in MS
FAP,0.672108327566248,0.573311135723574,1,0.94224724280714,0.668670706552337,,,,,,,,,,0.397768981207934,,-0.0848344058129568,Down in MS
KLRK1,0.0376356128624923,,0.0349939123127836,0.03960916963279,0.0421964670481873,0.057654831467824,,,1,0.136690647482014,0.623501199040767,0.0311750599520384,0.0431654676258993,,0.0359712230215827,,-0.085319136950847,Down in MS
ITGA2,0.92704450276577,0.463863754179546,0.434298316158215,0.428730388529536,1,0.669342758076303,0.486862999577757,0.70962325111557,0.342300716299307,,,,,0.25967640546844,0.436728500106013,,-0.0896260745212842,Down in MS
KLK6,0.590528223018319,0.380237886231054,0.314595503780305,0.231203260592394,1,0.579410736194143,0.458886682187527,0.352768443368816,,,,,,,,,-0.0903796060116106,Down in MS
PLXNA4,0.043800992130548,,0.0610845742818668,0.0562378526665819,0.0503098296208036,0.0822739324606165,0.0567212382403315,0.154070270151819,0.0155763239875389,0.0202492211838006,0.0545171339563863,,1,,,0.0420560747663551,-0.0910952106441237,Down in MS
GZMA,0.00435249397262982,0.00277470694673931,0.00305855194963832,,0.00352203957427266,0.00364971412754263,0.002132726171426,,0.561524985400851,0.00775840493868357,1,0.0182697922749645,0.018603487111037,0.00709101526653875,0.0236923333611412,0.00342037206974222,-0.0919757931558528,Down in MS
BAG3,0.0574851671236534,0.0462447598028026,0.0593362229044299,0.0345478212501484,0.0399398989358051,0.0844582310046828,0.0385542799247786,0.0402928155057548,0.383259911894273,0.187224669603524,0.013215859030837,0.179515418502203,0,1,0.48568281938326,0.492290748898679,-0.0920561950966553,Down in MS
CLEC4M,,0.60573207885505,,,,1,,,,,,,,,0.633316016460231,,-0.0922040568677285,Down in MS
MYOC,0.548757060630959,,1,,,,,,,,,,,,0.643839460448207,,-0.0922876661699418,Down in MS
COMP,0.50364194313892,,0.647232140373788,,0.477700322777894,1,0.409188638101513,,0.245229853709676,,,,,0.326973138279569,,0.347408959422042,-0.0923581781562829,Down in MS
CHGB,0.278294184465894,0.246214068251726,0.156510403765734,0.340612422024821,0.388148655721421,0.495353096009871,0.314824732168412,1,,,,,,0.109285452067307,,,-0.0933470763465684,Down in MS
ITGAV,0.109765736544697,0.0676694305902102,0.0943658750426465,0.0472201297269339,0.102902660543756,0.150980454190116,0.0748593798250587,0.0879874039606027,0.129129129129129,0,0.0720720720720721,0.936936936936937,0.123123123123123,1,0.0750750750750751,0.864864864864865,-0.0947670749018349,Down in MS
CD160,0.0252748113330455,0.0190281441991582,0.0150816749278496,0.0106088608980292,0.0126638438535542,0.0252445845922294,0.00720013314053938,,0.209893666204346,0.00554785020804438,1,0.00508552935737402,0.0120203421174295,,0.0124826629680999,,-0.0949516159923201,Down in MS
NPTXR,0.691635104382366,0.420196506808778,0.64635859831519,0.41329823277931,0.776343072970825,0.830592492890617,0.890923590009766,1,0.324024214553241,,0.391063707219429,,,,,,-0.0952729047915029,Down in MS
BCAN,0.623574608761347,0.542950065207675,0.534824423814826,0.502048732101655,0.821528618588333,0.825135346302968,0.967281002511229,1,,,,,0.198761091926364,,,0.22360622841716,-0.097450362262996,Down in MS
