gene,Microglial cells,Astrocytes,Oligodendrocytes,Oligodendrocyte precursor cells,Excitatory neurons,Inhibitory neurons,T-cells,B-cells,NK-cells,monocytes,dendritic cells,Macrophages,Plasma cells,granulocytes,logFC,direction
CNTN5,0.0183315138282387,0.0101437409024745,0.00982532751091703,0.0478529839883552,0.426673944687045,1,,,,,,,,,-0.0638792563396746,Down in MS
SMOC2,0.67741935483871,,,0.204301075268817,,1,0.129032258064516,0.129032258064516,,,,0.290322580645161,0.333333333333333,0.408602150537634,-0.063941998074138,Down in MS
TNXB,1,0.142011834319527,0.0591715976331361,,0.396449704142012,0.230769230769231,0.130177514792899,0.14792899408284,,,,0.201183431952663,0.242603550295858,0.14792899408284,-0.0647922042665551,Down in MS
PEPD,0.0558375634517766,0,0.151015228426396,0.120558375634518,0.106598984771574,0.0444162436548223,0.279187817258883,0.248730964467005,0.219543147208122,0.435279187817259,0.261421319796954,1,0.345177664974619,0.633248730964467,-0.066483406164663,Down in MS
CBLN4,0.0602006688963211,0.0936454849498328,0.0602006688963211,,0.872909698996656,1,,,,,,,,,-0.0678461007767902,Down in MS
PLXDC1,1,0.0741839762611276,0.029673590504451,0.0741839762611276,0.468842729970326,0.451038575667656,0.326409495548961,,0.376854599406528,,0.0741839762611276,0.335311572700297,0.029673590504451,,-0.0678675897199601,Down in MS
NELL2,0.0284172090808065,0.0722336878869662,0.0242895697729798,0.110811239879346,1,0.163994284807112,0.0352436894745198,,0.00285759644387998,,,,,,-0.0683236244648908,Down in MS
ITGB6,,,,,,,,,,,,0.541666666666667,,1,-0.069167693302969,Down in MS
RGMA,0.0654893303899927,1,0.0103016924208977,0.0765268579838116,0.119941133186166,0.0198675496688742,0.00956585724797645,,,,,0.0125091979396615,0.00956585724797645,0.00735835172921266,-0.0691781087314508,Down in MS
NPTXR,0.0374220374220374,0.187110187110187,0.203742203742204,0.372141372141372,0.837837837837838,1,0.0602910602910603,,0.0727650727650728,,,,,,-0.0702101142297653,Down in MS
DNER,0.0198092443140132,0.159696747370995,0.563952066519932,1,0.0569821472242602,0.778919051112742,,,,,,0.00807043286867205,,,-0.070578603539209,Down in MS
HSPA1A,0.185855345596712,0.198436168613102,0.0919252167811137,0.0033081048568994,0,0.000751842012931683,0.481780361886622,0.193123151721718,0.0225552603879505,0.302591348804571,0.0264147160543331,1,0.633201343291063,0.91955290461631,-0.0708908137254737,Down in MS
KLRK1,,,,,,,1,0.136690647482014,0.623501199040767,0.0311750599520384,0.0431654676258993,,0.0359712230215827,,-0.0716431854362228,Down in MS
ACHE,,0.33695652173913,,0.869565217391305,0.489130434782609,1,,,,,,0.173913043478261,0.195652173913043,,-0.0727846278590974,Down in MS
CRTAC1,0.0441176470588235,0.0457516339869281,0.0931372549019608,0.839869281045752,0.359477124183007,1,,,,,,,0.0163398692810458,0.0310457516339869,-0.0738422837002026,Down in MS
KLK6,,,1,,,,,,,,,,,,-0.0759977388791826,Down in MS
NPPC,,,0.27906976744186,,,0.325581395348837,0.395348837209302,0.27906976744186,,,,0.325581395348837,0.906976744186047,1,-0.077376126012957,Down in MS
CD160,,,,,,,0.209893666204346,0.00554785020804438,1,0.00508552935737402,0.0120203421174295,,0.0124826629680999,,-0.0775261134636865,Down in MS
DPP6,0.0117634185041309,0.0767631449362587,0.148109646003173,1,0.356349510313509,0.6278929802484,,,,,,,,,-0.0775397942811318,Down in MS
ITGA2,0.0388068346365479,0.0251954821894005,1,,,,0.00839849406313351,,,,,0.00637127135823921,0.0107153200115841,,-0.0783603848473705,Down in MS
CHGB,0.291803278688525,0.232786885245902,0.160655737704918,0.232786885245902,1,0.904918032786885,,,,,,0.0327868852459016,,,-0.0808172651284053,Down in MS
CD248,0.285714285714286,0.19047619047619,,,,,1,0.523809523809524,,,,0.365079365079365,0.761904761904762,0.158730158730159,-0.081372511090909,Down in MS
TNR,0.00167636786961583,0.00894062863795111,0.00130384167636787,1,0.102165308498254,0.080186263096624,,0.00139697322467986,,,,,,,-0.0820286094184337,Down in MS
RAB6A,0.0250297973778308,0.361144219308701,0.6746126340882,0.921334922526818,1,0.818831942789035,0.166865315852205,0.064362336114422,0.106078665077473,0.0727056019070322,0,0.097735399284863,0.34564958283671,0.0381406436233612,-0.0834571915969505,Down in MS
MEGF10,0.0779842342342342,0.583051801801802,1,0.257601351351351,0.0123873873873874,0.00929054054054054,,,,,,,,,-0.0836236272607329,Down in MS
MXRA8,0.887323943661972,1,,,,,0.28169014084507,0.183098591549296,,,,0.408450704225352,0.549295774647887,0.309859154929578,-0.0836385292957982,Down in MS
CLEC4M,,,,,,,,,,,,,1,,-0.0837764798170252,Down in MS
CHAD,,0.230769230769231,,1,,,,0.192307692307692,,,,,0.192307692307692,,-0.084372594131803,Down in MS
ITGAV,0.400833829660512,0.730792138177487,0.834425253126861,1,0.178082191780822,0.172721858248958,0.0256104824300179,0,0.0142942227516379,0.185824895771292,0.0244192972007147,0.198332340678976,0.0148898153662895,0.171530673019655,-0.0854749948754092,Down in MS
GOT1,0.112132352941176,0.338235294117647,0.518382352941177,0.246323529411765,0.724264705882353,1,0.167279411764706,0.376838235294118,0.0588235294117647,0.196691176470588,0,0.108455882352941,0.378676470588235,0.139705882352941,-0.0856915164958967,Down in MS
ENO3,,0.523809523809524,,,,,0.833333333333333,0.595238095238095,0.761904761904762,,,0.952380952380952,0.642857142857143,1,-0.0865545855347101,Down in MS
FGFBP2,,,,,,,0.0990224169897185,0.00193831114107534,1,0.00842743974380583,0.00564638462834991,0.00117984156413282,0.00126411596157088,,-0.0870195405686857,Down in MS
MYOC,,,,,,,,,,,,,1,,-0.0874661357537645,Down in MS
FAP,1,0.311764705882353,0.229411764705882,,0.752941176470588,,,,,,,,0.1,,-0.0897796968571693,Down in MS
GZMA,,,,,,,0.561524985400851,0.00775840493868357,1,0.0182697922749645,0.018603487111037,0.00709101526653875,0.0236923333611412,0.00342037206974222,-0.0922176054434829,Down in MS
MUC13,,,,,,,,,,,,,,,-0.092713666397447,Down in MS
ITGB5,1,0.903448275862069,0.196551724137931,0.26551724137931,,0.293103448275862,0.0327586206896552,0.0206896551724138,,0.0189655172413793,,0.525862068965517,0.0586206896551724,,-0.0927734951126038,Down in MS
BAG3,0.0960086299892125,0.347357065803668,0.00215749730312837,,0.00323624595469256,0.0161812297734628,0.395900755124056,0.203883495145631,0.0334412081984898,0.196332254584682,0.0204962243797195,1,0.496224379719526,0.502696871628911,-0.0932230031449417,Down in MS
GRP,1,,,,,,,,,,,,,,-0.0939996685564662,Down in MS
AMY2A,,1,,,0.68421052631579,,,,,,,,,,-0.0943721585362036,Down in MS
LRRN1,0.00433341830231965,0.152179454499108,0.012235534030079,1,0.12974764211063,0.117002294162631,,0.0107060922763191,0.00356869742543972,,,,0.0191180219219985,,-0.0948620645490089,Down in MS
HPGDS,0.0291461029891051,,,,,,0.00912561691032685,0.00102430393891424,,,,0.0220690939566068,0.00148989663842071,1,-0.0954160272163762,Down in MS
BCAN,0.0329263780984092,0.477617462079171,0.0118386977432482,1,0.0603033666296707,0.0717721050684425,,,,,0.00591934887162412,,,0.00665926748057714,-0.0961306321631774,Down in MS
COMP,,,,,,,0.705882352941177,,,,,0.941176470588235,,1,-0.0977833730872739,Down in MS
DKK4,,,,,,,,,,,1,,,,-0.104242780818741,Down in MS
AMY2B,0.174061433447099,0.901023890784983,0.655290102389079,0.34641638225256,1,0.783276450511945,0.0290102389078498,0.0392491467576792,0.015358361774744,0.0392491467576792,0.0221843003412969,0.110921501706485,0.0460750853242321,,-0.106565417288778,Down in MS
CLEC4A,0.102272727272727,0.105113636363636,0.0767045454545455,0.119318181818182,0.0596590909090909,0.0653409090909091,,0.0795454545454545,0.0454545454545455,0.357954545454545,0.159090909090909,1,,,-0.10667357636798,Down in MS
ITGB2,0.0377001455604076,,,,,,0.317612809315866,0.135080058224163,1,0.929694323144105,0.172634643377001,0.716011644832606,0.0407569141193595,0.038136826783115,-0.106684122320364,Down in MS
OBP2B,,,,,1,,,,,,,,,,-0.109027249042593,Down in MS
ENPP5,0.0677966101694915,0.648305084745763,0.406779661016949,0.351694915254237,1,0.580508474576271,0.161016949152542,0.038135593220339,0.610169491525424,,0.0593220338983051,,,,-0.110066098229319,Down in MS
